class,a1,a2,a3,a4,a5,a6,a7,a8
1.0,147.1713615192,23.25555925993184,152.73175252479354,179.57495398028075,177.89134835923318,174.7576898865299,175.4105264077616,172.30705197386905
1.0,116.84953704948444,29.954994574000857,140.55009011590843,138.6603960962499,149.33134076438117,141.83873108489715,159.8721666875889,153.74683642330587
1.0,117.19941740019149,37.03645699930449,146.23358784839095,148.23994071057115,146.18030611346367,140.59926699773777,162.04000740523716,155.92455055216695
1.0,147.72346397904894,24.75480357045132,152.13053865187666,175.51348799097735,179.24620585121244,175.70215789040245,173.615456157705,168.69338833537412
1.0,145.47294935091765,27.66354114196251,151.76303670553042,163.45636017358257,172.04580596393035,170.73304565785804,176.01656101619474,171.9998901181779
1.0,110.22900351748837,33.11068316356948,149.3277914356104,140.54615789896877,143.97022527579335,142.1686375313074,150.6101437971522,147.5405420474005
1.0,156.31579684103662,22.949696120366088,147.4220685075947,168.91338675615052,177.3093135954185,173.6376671209501,178.10532911925222,179.63801080371525
1.0,103.10175492412054,42.69230563452624,158.58572011941698,151.7114518395556,141.78777757091603,137.1905181892476,154.68105490485885,149.33598261202027
1.0,147.91077033841285,23.48229702706111,148.68935048156453,176.05794809827523,173.4785248398562,162.73940308761476,176.06012029100341,175.92257254383617
1.0,105.2327617071582,26.845703321435217,166.6466993371152,149.74504620627084,136.2387490162988,133.20554054980323,153.19750891309315,148.29429635627173
1.0,107.25524176115164,26.438049700484516,141.78049910308846,129.05569384057617,148.69641066402235,143.0993638053066,156.1902644444143,149.3564750874134
1.0,130.16022668872995,32.67068645793587,152.84501505404023,165.44620394475263,158.88285875433323,152.11495273678653,170.59942879748806,166.99438137566597
1.0,149.50525416200313,50.069581552601484,155.84390546304763,173.62278557590074,144.87115103534842,137.7550631265566,161.68987391350157,156.22994062187792
1.0,103.63827166318737,31.00643270507191,140.1819676105164,122.86201470895432,148.59397743246024,144.16205291526006,156.2417288212039,150.53298496465362
1.0,113.89799142045277,5.034778401310665,134.64742633022578,120.16670949844544,166.67458015128017,165.63408353028152,163.9561839831854,160.36254509821697
1.0,141.33612354504814,51.92308511716241,150.04679164225365,144.9526621753064,176.5718460702163,161.25158298340878,175.6768170969771,178.8867875847074
1.0,146.29694599169625,0.4636809126735175,170.2043007821036,119.67430425955948,154.64956043277846,159.87704329206184,144.3079672724703,149.502782597869
